topic;112.ua;24 канал;Gazeta.ua;LB.ua;LIGA.net;Obozrevatel;Politeka;ZIK;ZN.UA;Zaxid.net;Znaj.ua;Інтерфакс-Україна;Апостроф;Бабель;Букви;Вголос;Вести;Главком;ГолосUA;Гордон;Громадське;Економічна правда;Еспресо ТВ;КП в Украине;Корреспондент.net;НВ;РБК-Україна;Радіо Свобода;Страна.ua;Суспільне;Сьогодні;ТСН;Телеграф;УНІАН;УНН;Українська правда;Українські новини;Укрінформ;Факти;Факти ICTV;Фокус;Цензор.НЕТ
Стягнення Росією військ до кордону і реакція міжнародної спільноти;13.8;24.6;14.8;15.7;31.5;16.8;5.3;15.0;9.3;35.6;8.1;13.4;13.3;11.8;17.0;11.8;7.1;23.3;7.1;10.3;33.1;0.0;24.1;12.8;15.0;18.2;20.0;30.3;11.0;7.6;19.5;24.5;17.7;29.9;19.2;15.6;15.1;16.6;10.1;27.8;13.3;31.6
Дипломатичний конфлікт між Чехією та Росією;5.5;5.4;4.9;4.7;7.3;3.5;0.0;1.2;5.4;4.4;0.0;3.7;1.3;6.1;2.6;3.9;3.5;1.4;1.3;8.4;5.9;0.0;4.9;3.0;4.7;7.2;5.1;7.1;4.8;4.5;4.2;6.3;4.1;6.2;8.4;5.9;2.5;5.7;4.2;3.3;4.3;5.1
Висилка російських дипломатів з різних країн та відповідь Росії;7.1;3.8;3.9;5.8;4.0;4.4;0.0;5.0;5.7;3.3;0.0;2.1;3.6;7.5;2.6;6.6;0.9;3.8;1.3;2.2;4.4;0.0;4.0;1.0;4.9;0.8;4.5;5.4;2.6;5.7;4.9;2.5;2.3;2.3;3.9;5.1;1.5;3.7;6.7;4.5;2.7;2.2
Заяви України та Росії щодо можливої зустрічі Зеленського і Путіна;6.7;1.9;3.2;4.4;1.9;4.1;1.3;3.8;1.4;0.0;0.0;2.4;5.3;3.8;1.3;7.9;6.2;3.1;7.9;1.0;2.2;3.7;3.7;4.9;3.7;4.1;3.4;0.3;5.3;1.3;4.7;0.4;5.5;2.3;2.4;2.7;4.5;0.3;3.4;2.0;5.1;2.1
Взаємна висилка дипломатів Україною та Росією;4.7;2.7;2.5;3.3;1.9;2.9;0.0;6.2;2.0;11.1;0.0;2.9;4.0;3.3;3.3;6.6;4.0;3.4;3.8;2.6;5.1;0.0;2.0;7.9;3.1;2.7;2.7;3.4;2.8;5.1;3.1;3.4;2.6;2.8;3.0;2.7;3.5;2.0;5.9;3.7;2.7;2.7
Співпраця України з НАТО, заяви щодо потенційного членства в альянсі;0.4;1.4;1.1;2.6;5.4;3.2;0.0;3.1;1.8;2.2;0.0;3.4;0.0;0.9;1.3;1.3;4.4;2.3;1.7;0.5;1.5;0.0;1.7;1.5;1.9;2.4;2.5;2.4;2.5;3.2;2.6;5.1;2.0;3.7;0.9;2.4;3.5;2.1;0.0;2.9;2.0;3.4
Будівництво Північного потоку-2 і реакція різних країн;1.2;3.2;1.8;2.2;3.1;10.6;0.0;0.6;2.0;0.0;0.0;0.8;0.0;1.9;0.7;1.3;1.3;2.3;2.1;4.8;0.0;25.9;1.7;0.0;2.9;0.8;3.7;0.7;2.0;0.6;2.9;2.5;1.7;3.9;1.7;1.1;2.0;2.0;0.0;1.6;0.8;1.5
Виведення з Афганістану військ США та інших країн;0.4;0.8;2.1;1.1;0.4;0.9;0.0;3.1;2.0;2.2;0.0;1.8;1.3;1.9;3.3;2.6;1.1;1.1;0.8;1.2;0.7;0.0;1.7;0.5;1.8;1.0;1.9;2.0;0.8;2.5;1.8;3.0;0.6;2.3;1.7;1.3;0.5;2.3;0.0;0.4;0.8;0.2
Визнання Байденом геноциду вірмен і відповідь Туреччини;1.6;0.9;1.8;1.1;0.2;0.3;0.0;0.6;1.6;1.1;0.0;1.3;1.3;2.4;1.3;1.3;1.1;1.7;0.4;1.2;1.5;0.0;0.6;1.5;1.8;1.3;1.4;1.0;1.5;2.5;0.5;0.8;0.6;0.8;1.3;2.2;1.0;0.7;0.8;0.8;2.0;0.5
Збиття Іраном літака МАУ: нові заяви та звинувачення;0.4;0.8;0.4;1.1;0.2;0.9;0.0;2.5;1.3;1.1;0.0;1.0;0.4;0.9;0.0;0.0;0.4;0.6;0.0;1.4;0.7;0.0;0.9;0.5;0.8;0.5;0.8;0.0;1.0;2.5;0.3;0.4;0.3;1.1;1.3;0.8;1.0;1.1;0.0;0.8;0.8;0.7
